Teste Insercao Listaamostra: 30
n; tempo
3260;0.000147833
3270;0.000176833
3280;0.000150167
3290;0.000153833
3300;0.000149233
3310;0.000158567
3320;0.0001536
3330;0.000153867
3340;0.000154067
3350;0.000153833
3360;0.000155033
3370;0.000153967
3380;0.000155067
3390;0.0001535
3400;0.000157767
3410;0.000182067
3420;0.000171067
3430;0.0001732
3440;0.000156167
3450;0.000155567
3460;0.000155533
3470;0.000154833
3480;0.000156133
3490;0.0001559
3500;0.000157467
3510;0.000164833
3520;0.0001574
3530;0.0001613
3540;0.0001614
3550;0.000161633
3560;0.000158533
3570;0.0001594
3580;0.000159867
3590;0.0001618
3600;0.0001618
3610;0.000162467
3620;0.000188467
3630;0.000163733
3640;0.000161567
3650;0.000163167
3660;0.000161633
3670;0.0001634
3680;0.000162767
3690;0.000163367
3700;0.000165633
3710;0.000165733
3720;0.000177567
3730;0.0001654
3740;0.000167833
3750;0.000166867
3760;0.000169433
3770;0.0001685
3780;0.0001671
3790;0.000184033
3800;0.000169667
3810;0.0001696
3820;0.0001991
3830;0.000172167
3840;0.0001734
3850;0.000170333
3860;0.000173067
3870;0.000175333
3880;0.0001736
3890;0.000174033
3900;0.0001736
3910;0.000182367
3920;0.000174833
3930;0.000173633
3940;0.000175033
3950;0.000177
3960;0.000179067
3970;0.0001781
3980;0.000177667
3990;0.000177
4000;0.000178867
4010;0.000207133
4020;0.000180333
4030;0.0001786
4040;0.000180233
4050;0.0001874
4060;0.000180867
4070;0.000182833
4080;0.0001814
4090;0.0001833
4100;0.000192567
4110;0.000189933
4120;0.000189467
4130;0.0001948
4140;0.000190867
4150;0.000187133
4160;0.000195233
4170;0.0001941
4180;0.0001869
4190;0.000217433
4200;0.000191333
4210;0.000185767
4220;0.000187633
4230;0.000187367
4240;0.0001888
4250;0.000189433
4260;0.000189233
4270;0.000199433
4280;0.000189867
4290;0.0001905
4300;0.0001912
4310;0.0001917
4320;0.000193633
4330;0.000192833
4340;0.000191867
4350;0.000193933
4360;0.0002233
4370;0.000192667
4380;0.0001958
4390;0.0001964
4400;0.000195333
4410;0.0001959
4420;0.0001957
4430;0.0001974
4440;0.000196733
4450;0.0002089
4460;0.000199833
4470;0.000198433
4480;0.0002006
4490;0.000200667
4500;0.000203033
4510;0.0002013
4520;0.000202367
4530;0.000229133
4540;0.0002016
4550;0.000203467
4560;0.000204933
4570;0.0002035
4580;0.000204567
4590;0.000204367
4600;0.000203967
4610;0.000214733
4620;0.0002183
4630;0.0002139
4640;0.0002109
4650;0.000216867
4660;0.0002143
4670;0.000216167
4680;0.000211867
4690;0.0002431
4700;0.0002223
4710;0.000223933
4720;0.0002162
4730;0.000212767
4740;0.000223567
4750;0.0002238
4760;0.000236167
4770;0.000224067
4780;0.000219967
4790;0.0002232
4800;0.000220633
4810;0.000223167
4820;0.000226267
4830;0.000219067
4840;0.000252567
4850;0.000225067
4860;0.000222767
4870;0.000228233
4880;0.000217667
4890;0.0002197
4900;0.000218067
4910;0.000230067
4920;0.000219733
4930;0.0002235
4940;0.000220967
4950;0.000223167
4960;0.000220233
4970;0.000221833
4980;0.000224067
4990;0.000252267
