Teste Remocao Listaamostra: 30
n; tempo
3470;0.000365033
3480;0.000347733
3490;0.000350233
3500;0.000350733
3510;0.000352733
3520;0.000351767
3530;0.000353233
3540;0.000354467
3550;0.0003508
3560;0.000351167
3570;0.0003526
3580;0.000351433
3590;0.000352567
3600;0.0003562
3610;0.0003554
3620;0.000356167
3630;0.0003588
3640;0.000358467
3650;0.000359367
3660;0.000361733
3670;0.000359367
3680;0.000362567
3690;0.0003627
3700;0.000365633
3710;0.000364367
3720;0.000369467
3730;0.0003703
3740;0.0003704
3750;0.000370667
3760;0.000368967
3770;0.0003718
3780;0.000374933
3790;0.000376133
3800;0.000376
3810;0.0003758
3820;0.0003794
3830;0.000380033
3840;0.000380867
3850;0.0003792
3860;0.000380967
3870;0.0003837
3880;0.000385267
3890;0.000388067
3900;0.000386067
3910;0.000387533
3920;0.000388833
3930;0.000390033
3940;0.0003876
3950;0.000389433
3960;0.000391933
3970;0.000395367
3980;0.0003929
3990;0.0003948
4000;0.000395233
4010;0.0003962
4020;0.000420233
4030;0.0004025
4040;0.0004008
4050;0.000403567
4060;0.0004026
4070;0.000403667
4080;0.000404833
4090;0.000404667
4100;0.000408267
4110;0.000408267
4120;0.000407933
4130;0.000410567
4140;0.0004126
4150;0.000410167
4160;0.000410567
4170;0.0004132
4180;0.0004133
4190;0.000416067
4200;0.000416067
4210;0.000415467
4220;0.000417033
4230;0.000420067
4240;0.000419567
4250;0.000419233
4260;0.000420067
4270;0.000423733
4280;0.000424833
4290;0.000423867
4300;0.000425467
4310;0.000427467
4320;0.000427933
4330;0.000427233
4340;0.000428033
4350;0.000452267
4360;0.000431667
4370;0.000431833
4380;0.000434733
4390;0.0004327
4400;0.0004308
4410;0.000437233
4420;0.0004372
4430;0.000438133
4440;0.000441533
4450;0.000438567
4460;0.000441833
4470;0.0004426
4480;0.0004449
4490;0.000442367
4500;0.000445
4510;0.000446067
4520;0.000443567
4530;0.000446333
4540;0.000449267
4550;0.000450233
4560;0.0004498
4570;0.000450933
4580;0.000475567
4590;0.0004712
4600;0.000472067
4610;0.0004753
4620;0.0004755
4630;0.000475633
4640;0.0004762
4650;0.000477233
4660;0.000479733
4670;0.000478333
4680;0.000480333
4690;0.000482967
4700;0.0004827
4710;0.000483833
4720;0.000483667
4730;0.000485033
4740;0.0004862
4750;0.000486833
4760;0.0004917
4770;0.000489
4780;0.00049
4790;0.0004935
4800;0.000491667
4810;0.000492833
4820;0.0004963
4830;0.000496133
4840;0.000494367
4850;0.0004962
4860;0.000499733
4870;0.0004999
4880;0.000499733
4890;0.000496833
4900;0.0005014
4910;0.000501567
4920;0.000503567
4930;0.000503667
4940;0.0004841
4950;0.000485167
4960;0.000486833
4970;0.000486933
4980;0.0004856
4990;0.000487633
