05 - 342.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
6;450;0.264;264;474;8.246;8246;443;372.887;372887;
12;450;0.269;269;474;8.08;8080;445;392.961;392961;
18;450;0.564;564;474;17.431;17431;445;371.793;371793;
24;450;0.272;272;474;8.159;8159;446;400.548;400548;
30;450;0.262;262;475;8.164;8164;448;367.831;367831;
