09 - 121106.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks
1;171957;7.417;7417;177196;228.83;228830;167573;8665.16;8665158;167540;7769.6;7769600
7;171957;7.407;7407;177294;261.356;261356;168370;8596.52;8596523;166842;7656.12;7656119
13;171957;14.413;14413;177418;268.932;268932;167999;8841.02;8841024;167023;7690.85;7690853
19;171957;7.044;7044;177418;266.395;266395;168370;8912.87;8912868;167023;7577.54;7577544
25;171957;6.638;6638;177418;199.241;199241;167999;8962.54;8962540;167448;8062.74;8062740
2;171957;7.323;7323;177196;203.057;203057;170126;8587.82;8587823;166842;7754.77;7754768
8;171957;7.081;7081;177358;243.013;243013;168417;8637.39;8637392;166902;7651.02;7651018
14;171957;7.562;7562;177418;275.619;275619;170126;8836.33;8836325;167695;7749.56;7749555
20;171957;6.543;6543;177418;240.072;240072;168417;8903.09;8903089;167023;7549.26;7549256
26;171957;9.741;9741;177418;225.749;225749;170174;8893.95;8893951;168241;8056.72;8056718
3;171957;7.383;7383;177196;203.447;203447;169436;8587.97;8587973;168063;7774.79;7774787
9;171957;6.96;6960;177358;247.95;247950;169884;8624.05;8624052;167036;7659.14;7659141
15;171957;7.504;7504;177418;244.106;244106;169436;8813.92;8813922;167472;7758.31;7758315
21;171957;14.363;14363;177418;207.978;207978;167813;8945.36;8945359;167036;7540.1;7540103
27;171957;14.49;14490;177418;223.626;223626;169436;8881.64;8881638;167607;8007.3;8007304
4;171957;7.63;7630;177196;202.489;202489;166902;8612.49;8612489;167023;7787.29;7787292
10;171957;7.098;7098;177358;244.845;244845;169394;8643.87;8643872;167036;7664.64;7664642
16;171957;7.314;7314;177418;262.509;262509;166902;8789.66;8789664;167695;7777.51;7777510
22;171957;6.474;6474;177418;239.844;239844;169394;8954.4;8954404;168201;7543.01;7543006
28;171957;6.998;6998;177418;227.966;227966;166902;8886.43;8886431;166456;8010.97;8010972
5;171957;7.365;7365;177196;203.211;203211;167697;8564.36;8564357;167338;7760.64;7760638
11;171957;7.264;7264;177358;242.088;242088;167946;8657.57;8657571;167946;7678.59;7678590
17;171957;7.28;7280;177418;271.552;271552;167697;8808.65;8808645;167448;7725.23;7725225
23;171957;6.519;6519;177418;240.862;240862;167946;8911.63;8911633;167338;7552.91;7552911
29;171957;6.967;6967;177418;229.629;229629;167697;8894.89;8894885;167036;8066.32;8066318
6;171957;7.071;7071;177294;204.001;204001;169062;8613.07;8613065;167540;7804.8;7804799
12;171957;7.65;7650;177418;241.093;241093;169354;8632.51;8632513;166842;7666.06;7666055
18;171957;7.313;7313;177418;271.787;271787;169062;8776.74;8776744;166842;7731.82;7731825
24;171957;6.927;6927;177418;242.123;242123;169354;8879.13;8879134;167472;7564.76;7564755
30;171957;14.604;14604;178127;210.352;210352;168500;8904.6;8904601;167193;8044.03;8044033
