04 - 4003.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks
1;5380;0.001;1;4889;0.019;19;4798;0.722;722;4789;0.628;628
7;5380;0.001;1;4889;0.016;16;4722;0.698;698;4779;0.654;654
13;5380;0.003;3;4889;0.021;21;4789;0.7;700;4697;0.658;658
19;5380;0;0;4892;0.023;23;4789;0.674;674;4779;0.593;593
25;5380;0.001;1;4892;0.018;18;4887;0.674;674;4782;0.812;812
2;5380;0.001;1;4889;0.024;24;4734;0.759;759;4795;0.641;641
8;5380;0;0;4889;0.018;18;4726;0.704;704;4697;0.589;589
14;5380;0.001;1;4889;0.018;18;4734;0.691;691;4779;0.565;565
20;5380;0.001;1;4892;0.019;19;4727;0.669;669;4803;0.643;643
26;5380;0.001;1;4892;0.019;19;4734;0.697;697;4791;0.603;603
3;5380;0.001;1;4889;0.02;20;4782;0.74;740;4805;0.685;685
9;5380;0;0;4889;0.018;18;4783;0.684;684;4697;0.609;609
15;5380;0;0;4892;0.021;21;4782;0.717;717;4697;0.585;585
21;5380;0.001;1;4892;0.021;21;4742;0.684;684;4779;0.603;603
27;5380;0.001;1;4892;0.019;19;4782;0.681;681;4781;0.594;594
4;5380;0.001;1;4889;0.021;21;4794;0.709;709;4794;0.6;600
10;5380;0.001;1;4889;0.019;19;4848;0.733;733;4779;0.601;601
16;5380;0;0;4892;0.017;17;4809;0.678;678;4781;0.62;620
22;5380;0.001;1;4892;0.02;20;4806;0.668;668;4812;0.628;628
28;5380;0.001;1;4892;0.023;23;4711;0.67;670;4779;0.561;561
5;5380;0;0;4889;0.02;20;4830;0.782;782;4782;0.594;594
11;5380;0.001;1;4889;0.02;20;4837;0.71;710;4697;0.586;586
17;5380;0;0;4892;0.018;18;4729;0.668;668;4781;0.614;614
23;5380;0.002;2;4892;0.021;21;4812;0.673;673;4805;0.621;621
29;5380;0;0;4892;0.018;18;4629;0.71;710;4781;0.607;607
6;5380;0.001;1;4889;0.022;22;4733;0.743;743;4790;0.639;639
12;5380;0.001;1;4889;0.017;17;4792;0.721;721;4790;0.612;612
18;5380;0;0;4892;0.017;17;4809;0.655;655;4792;0.586;586
24;5380;0.001;1;4892;0.02;20;4792;0.687;687;4790;0.643;643
30;5380;0.001;1;4892;0.018;18;4809;0.68;680;4697;0.62;620
