03 - 2338.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;2356;0.763;763;
7;2373;0.794;794;
13;2356;0.78;780;
19;2463;0.784;784;
25;2455;0.806;806;
2;2381;0.752;752;
8;2465;0.792;792;
14;2370;0.759;759;
20;2464;0.738;738;
26;2458;0.787;787;
3;2356;0.757;757;
9;2472;0.802;802;
15;2356;0.771;771;
21;2363;0.791;791;
27;2356;0.809;809;
4;2453;0.773;773;
10;2457;0.78;780;
16;2369;0.817;817;
22;2457;0.742;742;
28;2453;0.841;841;
5;2471;0.767;767;
11;2373;0.768;768;
17;2470;0.773;773;
23;2456;0.746;746;
29;2365;0.764;764;
6;2456;0.761;761;
12;2554;0.766;766;
18;2456;0.762;762;
24;2375;0.724;724;
30;2459;0.781;781;
