08 - 236949.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;332842;19885.4;19885358;
7;332998;19620.8;19620833;
13;332842;19510.3;19510308;
19;333043;20201.2;20201185;
25;332842;19307.6;19307574;
2;332427;19906.5;19906549;
8;333267;19591.9;19591853;
14;332427;19554.3;19554276;
20;333267;20142.5;20142537;
26;332427;19266.4;19266382;
3;332876;19885.2;19885249;
9;332367;19621.2;19621214;
15;332876;19483.6;19483579;
21;332367;20139.5;20139489;
27;333223;19296.7;19296689;
4;332347;19867.7;19867669;
10;332981;19528.6;19528610;
16;332652;19586.7;19586719;
22;332981;20099.9;20099866;
28;332652;19287.6;19287589;
5;332850;19782.8;19782840;
11;333540;19520;19519956;
17;332850;19495.9;19495912;
23;333540;20192.7;20192698;
29;332850;19200.5;19200468;
6;332426;19898.3;19898270;
12;332390;19514.8;19514771;
18;332426;19572.5;19572521;
24;332390;20070.4;20070393;
30;332426;19302.3;19302344;
