09 - 121106.stp;;;;;;;;;;;;
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo;;
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks
1;;;;;;;167573;8665.16;8665158;;;
7;;;;;;;168370;8596.52;8596523;;;
13;;;;;;;167999;8841.02;8841024;;;
19;;;;;;;168370;8912.87;8912868;;;
25;;;;;;;167999;8962.54;8962540;;;
2;;;;;;;170126;8587.82;8587823;;;
8;;;;;;;168417;8637.39;8637392;;;
14;;;;;;;170126;8836.33;8836325;;;
20;;;;;;;168417;8903.09;8903089;;;
26;;;;;;;170174;8893.95;8893951;;;
3;;;;;;;169436;8587.97;8587973;;;
9;;;;;;;169884;8624.05;8624052;;;
15;;;;;;;169436;8813.92;8813922;;;
21;;;;;;;167813;8945.36;8945359;;;
27;;;;;;;169436;8881.64;8881638;;;
4;;;;;;;166902;8612.49;8612489;;;
10;;;;;;;169394;8643.87;8643872;;;
16;;;;;;;166902;8789.66;8789664;;;
22;;;;;;;169394;8954.4;8954404;;;
28;;;;;;;166902;8886.43;8886431;;;
5;;;;;;;167697;8564.36;8564357;;;
11;;;;;;;167946;8657.57;8657571;;;
17;;;;;;;167697;8808.65;8808645;;;
23;;;;;;;167946;8911.63;8911633;;;
29;;;;;;;167697;8894.89;8894885;;;
6;;;;;;;169062;8613.07;8613065;;;
12;;;;;;;169354;8632.51;8632513;;;
18;;;;;;;169062;8776.74;8776744;;;
24;;;;;;;169354;8879.13;8879134;;;
30;;;;;;;168500;8904.6;8904601;;;
