02 - 23.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;24;0.793;793;
7;24;0.77;770;
13;24;0.773;773;
19;23;0.807;807;
25;23;0.784;784;
2;24;0.808;808;
8;24;0.76;760;
14;24;0.777;777;
20;23;0.749;749;
26;23;0.78;780;
3;24;0.801;801;
9;23;0.771;771;
15;24;0.79;790;
21;23;0.761;761;
27;24;0.802;802;
4;24;0.784;784;
10;24;0.798;798;
16;24;0.762;762;
22;24;0.754;754;
28;24;0.764;764;
5;24;0.783;783;
11;24;0.762;762;
17;24;0.784;784;
23;23;0.765;765;
29;24;0.784;784;
6;23;0.78;780;
12;24;0.763;763;
18;23;0.763;763;
24;24;0.766;766;
30;23;0.768;768;
