01 - 3271.stp;;;;;;;;;;;;
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo;;
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks
1;;;;;;;3296;0.605;605;;;
7;;;;;;;3396;0.65;650;;;
13;;;;;;;3296;0.624;624;;;
19;;;;;;;3400;0.601;601;;;
25;;;;;;;3296;0.621;621;;;
2;;;;;;;3396;0.593;593;;;
8;;;;;;;3407;0.611;611;;;
14;;;;;;;3398;0.635;635;;;
20;;;;;;;3403;0.578;578;;;
26;;;;;;;3500;0.613;613;;;
3;;;;;;;3414;0.657;657;;;
9;;;;;;;3302;0.642;642;;;
15;;;;;;;3414;0.624;624;;;
21;;;;;;;3400;0.61;610;;;
27;;;;;;;3388;0.616;616;;;
4;;;;;;;3390;0.586;586;;;
10;;;;;;;3408;0.629;629;;;
16;;;;;;;3390;0.638;638;;;
22;;;;;;;3392;0.587;587;;;
28;;;;;;;3405;0.643;643;;;
5;;;;;;;3395;0.592;592;;;
11;;;;;;;3302;0.601;601;;;
17;;;;;;;3295;0.607;607;;;
23;;;;;;;3302;0.605;605;;;
29;;;;;;;3293;0.596;596;;;
6;;;;;;;3502;0.602;602;;;
12;;;;;;;3302;0.604;604;;;
18;;;;;;;3285;0.589;589;;;
24;;;;;;;3405;0.58;580;;;
30;;;;;;;3285;0.618;618;;;
