06 - 575.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;812;543.176;543176;
7;809;554.928;554928;
13;814;546.52;546520;
19;809;536.477;536477;
25;815;549.601;549601;
2;808;530.144;530144;
8;816;565.317;565317;
14;808;537.483;537483;
20;808;537.696;537696;
26;808;546.163;546163;
3;812;547.881;547881;
9;815;552.335;552335;
15;809;548.152;548152;
21;810;544.494;544494;
27;814;542.175;542175;
4;810;542.058;542058;
10;811;555.265;555265;
16;809;547.928;547928;
22;810;529.814;529814;
28;815;551.532;551532;
5;814;540.745;540745;
11;810;559.262;559262;
17;814;545.327;545327;
23;815;535.079;535079;
29;814;549.445;549445;
6;808;542.196;542196;
12;814;557.742;557742;
18;811;547.226;547226;
24;808;528.418;528418;
30;811;555.446;555446;
