05 - 342.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;455;430.059;430059;
7;455;438.529;438529;
13;455;426.584;426584;
19;455;434.246;434246;
25;454;410.106;410106;
2;451;430.045;430045;
8;456;431.947;431947;
14;451;429.532;429532;
20;456;425.967;425967;
26;451;414.66;414660;
3;453;430.583;430583;
9;455;440.671;440671;
15;453;425.999;425999;
21;455;433.107;433107;
27;453;410.669;410669;
4;450;429.653;429653;
10;451;437.05;437050;
16;450;428.164;428164;
22;451;435.132;435132;
28;450;409.828;409828;
5;452;428.238;428238;
11;452;435.779;435779;
17;456;428.6;428600;
23;452;433.196;433196;
29;456;411.596;411596;
6;458;429.046;429046;
12;452;434.753;434753;
18;458;428.766;428766;
24;452;426.534;426534;
30;458;414.624;414624;

