07 - 59797.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;82238;713.503;713503;
7;82632;726.478;726478;
13;82054;710.718;710718;
19;82944;707.604;707604;
25;82054;734.25;734250;
2;82587;713.383;713383;
8;82923;727.235;727235;
14;82587;690.176;690176;
20;82923;720.546;720546;
26;82587;721.288;721288;
3;82944;720.53;720530;
9;82760;719.13;719130;
15;82454;712.105;712105;
21;82760;710.334;710334;
27;82944;728.233;728233;
4;82396;711.348;711348;
10;82161;726.831;726831;
16;82396;703.657;703657;
22;82054;706.014;706014;
28;82396;734.754;734754;
5;82521;712.249;712249;
11;82526;725.039;725039;
17;82521;701.003;701003;
23;82805;709.344;709344;
29;82521;733.024;733024;
6;82800;713.303;713303;
12;82621;727.448;727448;
18;82800;701.288;701288;
24;82621;709.317;709317;
30;82800;728.857;728857;
