02 - 23.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
2;29;0.001;1;25;0.029;29;24;0.73;730;
8;29;0.001;1;25;0.026;26;23;0.736;736;
14;29;0.003;3;25;0.023;23;24;0.757;757;
20;29;0.001;1;25;0.024;24;24;0.814;814;
26;29;0.001;1;25;0.021;21;24;0.718;718;
