04 - 4003.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;5380;0.001;1;4889;0.019;19;4789;0.628;628;
7;5380;0.001;1;4889;0.016;16;4779;0.654;654;
13;5380;0.003;3;4889;0.021;21;4697;0.658;658;
19;5380;0;0;4892;0.023;23;4779;0.593;593;
25;5380;0.001;1;4892;0.018;18;4782;0.812;812;
2;5380;0.001;1;4889;0.024;24;4795;0.641;641;
8;5380;0;0;4889;0.018;18;4697;0.589;589;
14;5380;0.001;1;4889;0.018;18;4779;0.565;565;
20;5380;0.001;1;4892;0.019;19;4803;0.643;643;
26;5380;0.001;1;4892;0.019;19;4791;0.603;603;
3;5380;0.001;1;4889;0.02;20;4805;0.685;685;
9;5380;0;0;4889;0.018;18;4697;0.609;609;
15;5380;0;0;4892;0.021;21;4697;0.585;585;
21;5380;0.001;1;4892;0.021;21;4779;0.603;603;
27;5380;0.001;1;4892;0.019;19;4781;0.594;594;
4;5380;0.001;1;4889;0.021;21;4794;0.6;600;
10;5380;0.001;1;4889;0.019;19;4779;0.601;601;
16;5380;0;0;4892;0.017;17;4781;0.62;620;
22;5380;0.001;1;4892;0.02;20;4812;0.628;628;
28;5380;0.001;1;4892;0.023;23;4779;0.561;561;
5;5380;0;0;4889;0.02;20;4782;0.594;594;
11;5380;0.001;1;4889;0.02;20;4697;0.586;586;
17;5380;0;0;4892;0.018;18;4781;0.614;614;
23;5380;0.002;2;4892;0.021;21;4805;0.621;621;
29;5380;0;0;4892;0.018;18;4781;0.607;607;
6;5380;0.001;1;4889;0.022;22;4790;0.639;639;
12;5380;0.001;1;4889;0.017;17;4790;0.612;612;
18;5380;0;0;4892;0.017;17;4792;0.586;586;
24;5380;0.001;1;4892;0.02;20;4790;0.643;643;
30;5380;0.001;1;4892;0.018;18;4697;0.62;620;
