10 - 1172.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;1613;13.954;13954;1709;221.438;221438;1586;8087.53;8087526;
7;1613;14.037;14037;1714;273.125;273125;1593;8114.76;8114755;
13;1613;6.483;6483;1714;205.332;205332;1587;8064.02;8064018;
19;1613;6.956;6956;1714;232.574;232574;1579;8034.49;8034491;
25;1613;6.521;6521;1713;227.955;227955;1579;8184.71;8184711;
2;1613;6.413;6413;1709;248.285;248285;1579;8079.59;8079588;
8;1613;7.236;7236;1714;246.878;246878;1593;8123.59;8123594;
14;1613;7.25;7250;1714;245.247;245247;1592;8115.57;8115575;
20;1613;7.06;7060;1714;218.037;218037;1592;8054.65;8054653;
26;1613;6.497;6497;1713;227.754;227754;1579;8179.77;8179770;
3;1613;7.272;7272;1709;276.514;276514;1587;8093.15;8093151;
9;1613;6.649;6649;1714;250.039;250039;1579;8110.1;8110098;
15;1613;6.924;6924;1714;248.026;248026;1596;8037.99;8037992;
21;1613;7.178;7178;1714;240.071;240071;1590;7994.05;7994052;
27;1613;7.131;7131;1713;244.627;244627;1579;8226.31;8226310;
4;1613;13.897;13897;1709;261.074;261074;1592;8072.21;8072213;
10;1613;7.083;7083;1714;247.172;247172;1586;8093.63;8093629;
16;1613;7.102;7102;1714;245.583;245583;1579;8135.7;8135701;
22;1613;6.437;6437;1714;200.375;200375;1579;8013.13;8013129;
28;1613;13.286;13286;1713;266.399;266399;1592;8170.35;8170347;
5;1613;6.427;6427;1709;252.79;252790;1592;8079.19;8079186;
11;1613;7.104;7104;1714;246.589;246589;1590;8116.42;8116419;
17;1613;7.455;7455;1714;245.337;245337;1592;8108.49;8108489;
23;1613;6.87;6870;1714;203.054;203054;1587;8029.15;8029153;
29;1613;14.132;14132;1713;238.045;238045;1579;8169.46;8169463;
6;1613;6.581;6581;1709;252.461;252461;1590;8057.72;8057715;
12;1613;7.167;7167;1714;247.657;247657;1585;8120.83;8120830;
18;1613;7.072;7072;1714;242.889;242889;1599;8087.16;8087162;
24;1613;6.486;6486;1713;197.575;197575;1585;8062.07;8062066;
30;1613;14.148;14148;1713;245.312;245312;1579;8137.1;8137101;
