01 - 3271.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;3710;0.002;2;3515;0.02;20;3401;0.611;611;
7;3710;0.001;1;3491;0.016;16;3293;0.691;691;
13;3710;0.001;1;3491;0.017;17;3285;0.603;603;
19;3710;0.001;1;3491;0.018;18;3398;0.617;617;
25;3710;0.001;1;3491;0.016;16;3296;0.591;591;
2;3710;0.001;1;3515;0.032;32;3404;0.551;551;
8;3710;0;0;3491;0.03;30;3323;0.664;664;
14;3710;0.001;1;3491;0.02;20;3297;0.544;544;
20;3710;0;0;3491;0.015;15;3293;0.588;588;
26;3710;0.001;1;3491;0.015;15;3285;0.532;532;
3;3710;0.001;1;3515;0.015;15;3295;0.527;527;
9;3710;0.001;1;3491;0.024;24;3295;0.594;594;
15;3710;0.001;1;3491;0.023;23;3296;0.543;543;
21;3710;0.001;1;3491;0.018;18;3394;0.608;608;
27;3710;0;0;3491;0.018;18;3300;0.523;523;
4;3710;0.001;1;3491;0.023;23;3295;0.549;549;
10;3710;0.006;6;3491;0.031;31;3392;0.614;614;
16;3710;0;0;3491;0.03;30;3390;0.57;570;
22;3710;0.005;5;3491;0.019;19;3394;0.611;611;
28;3710;0.004;4;3491;0.015;15;3399;0.556;556;
5;3710;0.003;3;3491;0.023;23;3296;0.549;549;
11;3710;0.004;4;3491;0.023;23;3285;0.558;558;
17;3710;0.001;1;3491;0.017;17;3392;0.542;542;
23;3710;0.001;1;3491;0.03;30;3285;0.669;669;
29;3710;0.002;2;3491;0.021;21;3403;0.525;525;
6;3710;0.001;1;3491;0.023;23;3300;0.545;545;
12;3710;0.001;1;3491;0.039;39;3293;0.602;602;
18;3710;0.001;1;3491;0.029;29;3285;0.522;522;
24;3710;0.004;4;3491;0.017;17;3394;0.576;576;
30;3710;0.001;1;3491;0.017;17;3402;0.542;542;

