06 - 575.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;840;0.377;377;820;8.838;8838;812;446.571;446571;
7;840;0.37;370;820;12.965;12965;812;447.838;447838;
13;840;0.791;791;821;19.664;19664;811;442.909;442909;
19;840;0.356;356;822;15.314;15314;805;460.155;460155;
25;840;0.348;348;822;8.763;8763;803;459.386;459386;
2;840;0.329;329;820;9.487;9487;808;447.066;447066;
8;840;0.384;384;820;18.243;18243;812;455.98;455980;
14;840;0.734;734;821;19.549;19549;812;436.448;436448;
20;840;0.805;805;822;19.391;19391;810;453.53;453530;
26;840;0.36;360;822;8.974;8974;809;460.622;460622;
3;840;0.31;310;820;9.197;9197;812;450.703;450703;
9;840;0.351;351;820;16.155;16155;803;445.184;445184;
15;840;0.772;772;821;19.395;19395;803;440.83;440830;
21;840;0.385;385;822;15.969;15969;810;460.596;460596;
27;840;0.357;357;824;9.025;9025;812;460.16;460160;
4;840;0.374;374;820;9.227;9227;803;445.632;445632;
10;840;0.322;322;820;12.017;12017;810;450.622;450622;
16;840;0.901;901;821;19.915;19915;805;442.447;442447;
22;840;0.375;375;822;16.781;16781;813;459.788;459788;
28;840;0.362;362;824;8.905;8905;812;459.052;459052;
5;840;0.335;335;820;8.937;8937;809;446.233;446233;
11;840;0.366;366;820;11.272;11272;810;446.571;446571;
17;840;0.732;732;821;19.446;19446;805;447.275;447275;
23;840;0.361;361;822;14.299;14299;813;458.741;458741;
29;840;0.338;338;824;9.111;9111;809;460.252;460252;
6;840;0.37;370;820;9.255;9255;810;448.82;448820;
12;840;0.349;349;821;16.661;16661;809;451.051;451051;
18;840;0.795;795;822;19.797;19797;809;439.016;439016;
24;840;0.594;594;822;19.398;19398;803;452.236;452236;
30;840;0.339;339;824;8.725;8725;803;459.633;459633;
