08 - 236949.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks
1;334954;14.393;14393;333839;449.736;449736;332842;19885.4;19885358;331212;16618.3;16618299
7;334954;15.63;15630;333839;560.207;560207;332998;19620.8;19620833;332532;19597.4;19597440
13;334954;23.518;23518;333070;605.067;605067;332842;19510.3;19510308;332414;18280.4;18280395
19;334954;15.513;15513;333070;562.289;562289;333043;20201.2;20201185;332724;17285.3;17285307
25;334954;30.844;30844;333070;469.394;469394;332842;19307.6;19307574;332141;16265.7;16265742
2;334954;14.656;14656;333839;448.277;448277;332427;19906.5;19906549;332427;16625;16624951
8;334954;15.26;15260;333839;574.89;574890;333267;19591.9;19591853;332694;19603.9;19603888
14;334954;16.407;16407;333070;607.469;607469;332427;19554.3;19554276;332390;18222.6;18222640
20;334954;15.672;15672;333070;563.808;563808;333267;20142.5;20142537;332141;17225;17224950
26;334954;14.798;14798;333070;504.658;504658;332427;19266.4;19266382;331829;16286.8;16286798
3;334954;14.504;14504;333839;451.565;451565;332876;19885.2;19885249;331487;16600.1;16600126
9;334954;15.09;15090;333839;560.089;560089;332367;19621.2;19621214;332532;19522.4;19522363
15;334954;20.907;20907;333070;604.888;604888;332876;19483.6;19483579;331212;18316.5;18316502
21;334954;14.771;14771;333070;564.245;564245;332367;20139.5;20139489;331918;17229.4;17229417
27;334954;13.761;13761;333070;503.751;503751;333223;19296.7;19296689;331829;16242.2;16242233
4;334954;14.602;14602;333839;448.87;448870;332347;19867.7;19867669;332333;16624.3;16624306
10;334954;15.5;15500;333839;558.802;558802;332981;19528.6;19528610;331487;19584;19584045
16;334954;23.288;23288;333070;597.808;597808;332652;19586.7;19586719;331212;18255.9;18255886
22;334954;15.545;15545;333070;561.565;561565;332981;20099.9;20099866;331829;17238.7;17238675
28;334954;15.186;15186;333070;503.627;503627;332652;19287.6;19287589;331829;16230.9;16230896
5;334954;13.526;13526;333839;448.905;448905;332850;19782.8;19782840;332367;16604.3;16604291
11;334954;15.144;15144;333070;559.854;559854;333540;19520;19519956;331918;19624.3;19624324
17;334954;21.399;21399;333070;606.012;606012;332850;19495.9;19495912;331829;18268.3;18268286
23;334954;15.232;15232;333070;559.577;559577;333540;20192.7;20192698;332498;17237.7;17237652
29;334954;15.247;15247;333070;503.646;503646;332850;19200.5;19200468;331829;16246.8;16246793
6;334954;13.944;13944;333839;448.034;448034;332426;19898.3;19898270;332333;16619.8;16619752
12;334954;15.326;15326;333070;557.144;557144;332390;19514.8;19514771;331680;19569.2;19569231
18;334954;22.34;22340;333070;604.112;604112;332426;19572.5;19572521;331212;18268.2;18268211
24;334954;14.948;14948;333070;563.164;563164;332390;20070.4;20070393;331931;17229.5;17229543
30;334954;14.501;14501;333070;504.354;504354;332426;19302.3;19302344;331918;16263.7;16263722
