05 - 342.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks
1;450;0.368;368;474;8.042;8042;455;430.059;430059;446;372.889;372889
7;450;0.256;256;474;8.154;8154;455;438.529;438529;445;392.661;392661
13;450;0.565;565;474;17.892;17892;455;426.584;426584;446;370.848;370848
19;450;0.252;252;474;8.424;8424;455;434.246;434246;450;398.377;398377
25;450;0.598;598;474;8.268;8268;454;410.106;410106;450;368.042;368042
2;450;0.26;260;474;8.38;8380;451;430.045;430045;445;372.711;372711
8;450;0.271;271;474;8.227;8227;456;431.947;431947;450;396.024;396024
14;450;0.564;564;474;17.902;17902;451;429.532;429532;446;371.483;371483
20;450;0.246;246;474;8.27;8270;456;425.967;425967;444;400.016;400016
26;450;0.268;268;474;8.165;8165;451;414.66;414660;449;368.157;368157
3;450;0.272;272;474;8.357;8357;453;430.583;430583;446;371.951;371951
9;450;0.243;243;474;8.164;8164;455;440.671;440671;446;390.759;390759
15;450;0.595;595;474;18.028;18028;453;425.999;425999;446;372.273;372273
21;450;0.279;279;474;8.23;8230;455;433.107;433107;448;399.85;399850
27;450;0.573;573;475;8.51;8510;453;410.669;410669;448;367.041;367041
4;450;0.278;278;474;8.404;8404;450;429.653;429653;448;372.836;372836
10;450;0.254;254;474;7.874;7874;451;437.05;437050;443;392.287;392287
16;450;0.552;552;474;17.937;17937;450;428.164;428164;448;372.526;372526
22;450;0.273;273;474;8.256;8256;451;435.132;435132;450;398.32;398320
28;450;0.574;574;475;7.953;7953;450;409.828;409828;449;368.289;368289
5;450;0.266;266;474;8.212;8212;452;428.238;428238;444;371.835;371835
11;450;0.234;234;474;8.32;8320;452;435.779;435779;448;392.138;392138
17;450;0.54;540;474;18.272;18272;456;428.6;428600;448;371.483;371483
23;450;0.358;358;474;7.937;7937;452;433.196;433196;448;397.036;397036
29;450;0.554;554;475;9.959;9959;456;411.596;411596;446;368.334;368334
6;450;0.264;264;474;8.246;8246;458;429.046;429046;443;372.887;372887
12;450;0.269;269;474;8.08;8080;452;434.753;434753;445;392.961;392961
18;450;0.564;564;474;17.431;17431;458;428.766;428766;445;371.793;371793
24;450;0.272;272;474;8.159;8159;452;426.534;426534;446;400.548;400548
30;450;0.262;262;475;8.164;8164;458;414.624;414624;448;367.831;367831
