06 - 575.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks
1;840;0.377;377;820;8.838;8838;812;543.176;543176;812;446.571;446571
7;840;0.37;370;820;12.965;12965;809;554.928;554928;812;447.838;447838
13;840;0.791;791;821;19.664;19664;814;546.52;546520;811;442.909;442909
19;840;0.356;356;822;15.314;15314;809;536.477;536477;805;460.155;460155
25;840;0.348;348;822;8.763;8763;815;549.601;549601;803;459.386;459386
2;840;0.329;329;820;9.487;9487;808;530.144;530144;808;447.066;447066
8;840;0.384;384;820;18.243;18243;816;565.317;565317;812;455.98;455980
14;840;0.734;734;821;19.549;19549;808;537.483;537483;812;436.448;436448
20;840;0.805;805;822;19.391;19391;808;537.696;537696;810;453.53;453530
26;840;0.36;360;822;8.974;8974;808;546.163;546163;809;460.622;460622
3;840;0.31;310;820;9.197;9197;812;547.881;547881;812;450.703;450703
9;840;0.351;351;820;16.155;16155;815;552.335;552335;803;445.184;445184
15;840;0.772;772;821;19.395;19395;809;548.152;548152;803;440.83;440830
21;840;0.385;385;822;15.969;15969;810;544.494;544494;810;460.596;460596
27;840;0.357;357;824;9.025;9025;814;542.175;542175;812;460.16;460160
4;840;0.374;374;820;9.227;9227;810;542.058;542058;803;445.632;445632
10;840;0.322;322;820;12.017;12017;811;555.265;555265;810;450.622;450622
16;840;0.901;901;821;19.915;19915;809;547.928;547928;805;442.447;442447
22;840;0.375;375;822;16.781;16781;810;529.814;529814;813;459.788;459788
28;840;0.362;362;824;8.905;8905;815;551.532;551532;812;459.052;459052
5;840;0.335;335;820;8.937;8937;814;540.745;540745;809;446.233;446233
11;840;0.366;366;820;11.272;11272;810;559.262;559262;810;446.571;446571
17;840;0.732;732;821;19.446;19446;814;545.327;545327;805;447.275;447275
23;840;0.361;361;822;14.299;14299;815;535.079;535079;813;458.741;458741
29;840;0.338;338;824;9.111;9111;814;549.445;549445;809;460.252;460252
6;840;0.37;370;820;9.255;9255;808;542.196;542196;810;448.82;448820
12;840;0.349;349;821;16.661;16661;814;557.742;557742;809;451.051;451051
18;840;0.795;795;822;19.797;19797;811;547.226;547226;809;439.016;439016
24;840;0.594;594;822;19.398;19398;808;528.418;528418;803;452.236;452236
30;840;0.339;339;824;8.725;8725;811;555.446;555446;803;459.633;459633
