03 - 2338.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
3;2868;0;0;2574;0.176;176;2454;5.981;5981;
9;2868;0.016;16;2580;0.177;177;2453;5.667;5667;
15;2868;0;0;2580;0.156;156;2459;5.716;5716;
21;2868;0;0;2580;0.16;160;2453;5.877;5877;
27;2868;0;0;2793;0.172;172;2450;6.431;6431;
