08 - 236949.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
5;334954;13.526;13526;333839;448.905;448905;332367;16604.3;16604291;
11;334954;15.144;15144;333070;559.854;559854;331918;19624.3;19624324;
17;334954;21.399;21399;333070;606.012;606012;331829;18268.3;18268286;
23;334954;15.232;15232;333070;559.577;559577;332498;17237.7;17237652;
29;334954;15.247;15247;333070;503.646;503646;331829;16246.8;16246793;
