10 - 1172.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
5;1613;6.427;6427;1709;252.79;252790;1592;8079.19;8079186;
11;1613;7.104;7104;1714;246.589;246589;1590;8116.42;8116419;
17;1613;7.455;7455;1714;245.337;245337;1592;8108.49;8108489;
23;1613;6.87;6870;1714;203.054;203054;1587;8029.15;8029153;
29;1613;14.132;14132;1713;238.045;238045;1579;8169.46;8169463;
