02 - 23.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
5;29;0;0;25;0.196;196;24;5.837;5837;
11;29;0;0;25;0.172;172;24;5.686;5686;
17;29;0;0;25;0.172;172;24;5.906;5906;
23;29;0;0;25;0.172;172;24;5.434;5434;
29;29;0;0;25;0.17;170;23;5.871;5871;
