03 - 2338.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
5;2868;0;0;2574;0.171;171;2456;6.252;6252;
11;2868;0.015;15;2580;0.203;203;2460;5.615;5615;
17;2868;0.015;15;2580;0.171;171;2455;5.671;5671;
23;2868;0;0;2580;0.203;203;2461;5.924;5924;
29;2868;0.015;15;2793;0.165;165;2453;6.077;6077;
