09 - 121106.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
6;171957;7.071;7071;177294;204.001;204001;167540;7804.8;7804799;
12;171957;7.65;7650;177418;241.093;241093;166842;7666.06;7666055;
18;171957;7.313;7313;177418;271.787;271787;166842;7731.82;7731825;
24;171957;6.927;6927;177418;242.123;242123;167472;7564.76;7564755;
30;171957;14.604;14604;178127;210.352;210352;167193;8044.03;8044033;
