03 - 2338.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
6;2868;0;0;2580;0.156;156;2349;6.204;6204;
12;2868;0;0;2580;0.176;176;2369;5.818;5818;
18;2868;0;0;2580;0.18;180;2454;5.569;5569;
24;2868;0.015;15;2672;0.156;156;2453;6.53;6530;
30;2868;0.007;7;2778;0.266;266;2450;6.262;6262;
