01 - 3271.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
4;3710;0.001;1;3491;0.023;23;3295;0.549;549;
10;3710;0.006;6;3491;0.031;31;3392;0.614;614;
16;3710;0;0;3491;0.03;30;3390;0.57;570;
22;3710;0.005;5;3491;0.019;19;3394;0.611;611;
28;3710;0.004;4;3491;0.015;15;3399;0.556;556;
