07 - 59797.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
4;83897;0.357;357;82977;11.99;11990;82415;585.037;585037;
10;83897;0.358;358;82977;12.186;12186;82161;585.245;585245;
16;83897;0.378;378;82977;16.979;16979;82562;598.007;598007;
22;83897;0.378;378;82977;12.029;12029;82396;591.774;591774;
28;83897;0.811;811;82976;23.833;23833;82176;559.694;559694;
